<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_ADC_MAX1125X_INIT_PRIORITY,drivers/adc,int,drivers/adc/Kconfig.max1125x:17,80,80,—(未定义/依赖不满足),,ADS1X1X ADC device driver initialization priority.,
CONFIG_ADC_MCP320X,drivers/adc,bool,drivers/adc/Kconfig.mcp320x:6,y,y,—(未定义/依赖不满足),,Enable MCP3204/MCP3208 ADC driver. The MCP3204/MCP3208 are 4/8 channel 12-bit A/D converters with SPI interface.,DT_HAS_MICROCHIP_MCP3204_ENABLED || DT_HAS_MICROCHIP_MCP3208_ENABLED
CONFIG_ADC_MCP320X_ACQUISITION_THREAD_PRIO,drivers/adc,int,drivers/adc/Kconfig.mcp320x:26,0,0,—(未定义/依赖不满足),,Priority level for the internal ADC data acquisition thread.,
CONFIG_ADC_MCP320X_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.mcp320x:19,512,512,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,
CONFIG_ADC_MCUX_12B1MSPS_SAR,drivers/adc,bool,drivers/adc/Kconfig.mcux:22 | soc/arm/nxp_imx/rt/Kconfig.defconfig.series:19,y,y | y if HAS_MCUX_12B1MSPS_SAR,—(未定义/依赖不满足),,Enable the MCUX 12B1MSPS SAR ADC driver.,DT_HAS_NXP_MCUX_12B1MSPS_SAR_ENABLED | ADC
CONFIG_ADC_MCUX_ADC12,drivers/adc,bool,drivers/adc/Kconfig.mcux:6,y,y,—(未定义/依赖不满足),,Enable the MCUX ADC12 driver.,DT_HAS_NXP_KINETIS_ADC12_ENABLED
CONFIG_ADC_MCUX_ADC16,drivers/adc,bool,drivers/adc/Kconfig.mcux:14,y,y,—(未定义/依赖不满足),,Enable the MCUX ADC16 driver.,DT_HAS_NXP_KINETIS_ADC16_ENABLED
CONFIG_ADC_MCUX_ADC16_CLK_DIV_RATIO_1,drivers/adc,bool,drivers/adc/Kconfig.mcux:50,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADC_MCUX_ADC16_CLK_DIV_RATIO_2,drivers/adc,bool,drivers/adc/Kconfig.mcux:53,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADC_MCUX_ADC16_CLK_DIV_RATIO_4,drivers/adc,bool,drivers/adc/Kconfig.mcux:56,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADC_MCUX_ADC16_CLK_DIV_RATIO_8,drivers/adc,bool,drivers/adc/Kconfig.mcux:59,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADC_MCUX_ADC16_ENABLE_EDMA,drivers/adc,bool,drivers/adc/Kconfig.mcux:76,n（隐式）,—,—(未定义/依赖不满足),,Enable the MCUX ADC16 driver.,HAS_MCUX_ADC16 && HAS_MCUX_EDMA
CONFIG_ADC_MCUX_ADC16_HW_TRIGGER,drivers/adc,bool,drivers/adc/Kconfig.mcux:84,y,y,—(未定义/依赖不满足),,Support HW Trigger ADC,
CONFIG_ADC_MCUX_ADC16_VREF_ALTERNATE,drivers/adc,bool,drivers/adc/Kconfig.mcux:71,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADC_MCUX_ADC16_VREF_DEFAULT,drivers/adc,bool,drivers/adc/Kconfig.mcux:68,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADC_MCUX_ETC,drivers/adc,bool,drivers/adc/Kconfig.mcux:38,n（隐式）,—,—(未定义/依赖不满足),,Enable the MCUX ADC ETC driver.,HAS_MCUX_ADC_ETC
CONFIG_ADC_MCUX_LPADC,drivers/adc,bool,drivers/adc/Kconfig.mcux:29,y,y,—(未定义/依赖不满足),,Enable the MCUX LPADC driver.,DT_HAS_NXP_LPC_LPADC_ENABLED
CONFIG_ADC_NPCX,drivers/adc,bool,drivers/adc/Kconfig.npcx:6,y,y,—(未定义/依赖不满足),,This option enables the ADC driver for NPCX family of processors. Say y if you wish to use ADC channels on NPCX MCU.,DT_HAS_NUVOTON_NPCX_ADC_ENABLED
CONFIG_ADC_NPCX_CMP_V1,drivers/adc,bool,drivers/adc/Kconfig.npcx:17,y if SOC_SERIES_NPCX7 || SOC_SERIES_NPCX9,y if SOC_SERIES_NPCX7 || SOC_SERIES_NPCX9,—(未定义/依赖不满足),,This option enables ADC comparator V1 support.,
CONFIG_ADC_NPCX_CMP_V2,drivers/adc,bool,drivers/adc/Kconfig.npcx:23,y if SOC_SERIES_NPCX4,y if SOC_SERIES_NPCX4,—(未定义/依赖不满足),,This option enables ADC comparator V2 support.,
CONFIG_ADC_NRFX_ADC,drivers/adc,bool,drivers/adc/Kconfig.nrfx:6,y,y,—(未定义/依赖不满足),,Enable support for nrfx ADC driver for nRF51 MCU series.,DT_HAS_NORDIC_NRF_ADC_ENABLED
CONFIG_ADC_NRFX_ADC_CHANNEL_COUNT,drivers/adc,int,drivers/adc/Kconfig.nrfx:15,1,1,—(未定义/依赖不满足),,Number of ADC channels to be supported by the driver. Each channel needs a dedicated structure in RAM that stores the ADC settings to be used when sampling this channel.,ADC_NRFX_ADC
CONFIG_ADC_NRFX_SAADC,drivers/adc,bool,drivers/adc/Kconfig.nrfx:25,y,y,—(未定义/依赖不满足),,Enable support for nrfx SAADC driver.,DT_HAS_NORDIC_NRF_SAADC_ENABLED
CONFIG_ADC_NUMAKER,drivers/adc,bool,drivers/adc/Kconfig.numaker:6,y,y,—(未定义/依赖不满足),,This option enables the ADC driver for Nuvoton NuMaker family of processors. Say y if you wish to enable NuMaker ADC.,DT_HAS_NUVOTON_NUMAKER_ADC_ENABLED
CONFIG_ADC_NXP_S32_ADC_SAR,drivers/adc,bool,drivers/adc/Kconfig.nxp_s32:4,y,y,—(未定义/依赖不满足),,This option enables the NXP S32 ADC SAR driver.,DT_HAS_NXP_S32_ADC_SAR_ENABLED
CONFIG_ADC_RPI_PICO,drivers/adc,bool,drivers/adc/Kconfig.rpi_pico:4,y,y,—(未定义/依赖不满足),,,DT_HAS_RASPBERRYPI_PICO_ADC_ENABLED | RESET
CONFIG_ADC_SAM,drivers/adc,bool,drivers/adc/Kconfig.sam:4,y,y,—(未定义/依赖不满足),,Enable Atmel SAM MCU Family Analog-to-Digital Converter (ADC) driver.,DT_HAS_ATMEL_SAM_ADC_ENABLED
CONFIG_ADC_SAM0,drivers/adc,bool,drivers/adc/Kconfig.sam0:4,y,y,—(未定义/依赖不满足),,Enable Atmel SAM0 MCU Family Analog-to-Digital Converter (ADC) driver.,DT_HAS_ATMEL_SAM0_ADC_ENABLED
CONFIG_ADC_SAM_AFEC,drivers/adc,bool,drivers/adc/Kconfig.sam_afec:6,y,y,—(未定义/依赖不满足),,Enable Atmel SAM MCU Family Analog-to-Digital Converter (ADC) driver based on AFEC module.,DT_HAS_ATMEL_SAM_AFEC_ENABLED
CONFIG_ADC_SENSORS_LOG_LEVEL,应用层 drivers/Kconfig,int,ecfw-zephyr/drivers/Kconfig:168,2 if EC_DEBUG_LOG | 0,2 if EC_DEBUG_LOG | 0,2,,Set log level for thermal sensor driver.,LOG
CONFIG_ADC_SHELL,drivers/adc,bool,drivers/adc/Kconfig:18,n（隐式）,—,—(未定义/依赖不满足),,Enable ADC Shell for testing.,SHELL
CONFIG_ADC_SMARTBOND_GPADC,drivers/adc,bool,drivers/adc/Kconfig.smartbond:6,y,y,—(未定义/依赖不满足),,Enable support for ADC driver for Renesas SmartBond(tm) MCU series.,DT_HAS_RENESAS_SMARTBOND_ADC_ENABLED
CONFIG_ADC_SMARTBOND_SDADC,drivers/adc,bool,drivers/adc/Kconfig.smartbond:14,y,y,—(未定义/依赖不满足),,Enable support for ADC driver for Renesas SmartBond(tm) MCU series.,DT_HAS_RENESAS_SMARTBOND_SDADC_ENABLED
CONFIG_ADC_STM32,drivers/adc,bool,drivers/adc/Kconfig.stm32:10,y,y,—(未定义/依赖不满足),,Enable the driver implementation for the stm32xx ADC,DT_HAS_ST_STM32_ADC_ENABLED
CONFIG_ADC_STM32_DMA,drivers/adc,bool,drivers/adc/Kconfig.stm32:19,n（隐式）,—,—(未定义/依赖不满足),,Enable the ADC DMA mode for ADC instances that enable dma channels in their device tree node.,
CONFIG_ADC_TELINK_B91,drivers/adc,bool,drivers/adc/Kconfig.b91:4,y,y,—(未定义/依赖不满足),,Enables Telink B91 ADC driver.,DT_HAS_TELINK_B91_ADC_ENABLED
CONFIG_ADC_TEST,drivers/adc,,drivers/adc/Kconfig.test:7,—,—,—(未定义/依赖不满足),,,DT_HAS_VND_ADC_ENABLED
CONFIG_ADC_TLA2021,drivers/adc,bool,drivers/adc/Kconfig.tla2021:4,y,y,—(未定义/依赖不满足),,"TLA202x Cost-Optimized, Ultra-Small, 12-Bit, System-Monitoring ADCs",DT_HAS_TI_TLA2021_ENABLED
CONFIG_ADC_TLA2021_ACQUISITION_THREAD_PRIORITY,drivers/adc,int,drivers/adc/Kconfig.tla2021:21,0,0,—(未定义/依赖不满足),,Execution priority for the internal data acquisition thread.,
CONFIG_ADC_TLA2021_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.tla2021:27,512,512,—(未定义/依赖不满足),,Stack size for the internal data acquisition thread. Requires room for I2C operations.,
CONFIG_ADC_TLA2021_INIT_PRIORITY,drivers/adc,int,drivers/adc/Kconfig.tla2021:14,80,80,—(未定义/依赖不满足),,Fine tune the priority for the driver initialization. Make sure it's higher (-> lower priority) than I2C_INIT_PRIORITY.,
CONFIG_ADC_VF610,drivers/adc,bool,drivers/adc/Kconfig.vf610:6,y,y,—(未定义/依赖不满足),,Enable the VF610 ADC driver.,DT_HAS_NXP_VF610_ADC_ENABLED
CONFIG_ADC_XEC,drivers/adc,bool,drivers/adc/Kconfig.xec:7,y,y,—(未定义/依赖不满足),,Enable ADC driver for Microchip XEC MCU series.,DT_HAS_MICROCHIP_XEC_ADC_ENABLED
CONFIG_ADC_XMC4XXX,drivers/adc,bool,drivers/adc/Kconfig.xmc4xxx:6,y,y,—(未定义/依赖不满足),,Enable XMC4XXX adc driver.,DT_HAS_INFINEON_XMC4XXX_ADC_ENABLED
CONFIG_ADJUST_DCDC,soc/arm,bool,soc/arm/nxp_imx/rt/Kconfig.soc:697,y if SOC_SERIES_IMX_RT11XX,y if SOC_SERIES_IMX_RT11XX,—(未定义/依赖不满足),,,
CONFIG_ADJUST_LDO,soc/arm,bool,soc/arm/nxp_imx/rt/Kconfig.soc:704,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADLTC2990,drivers/sensor,bool,drivers/sensor/adltc2990/Kconfig:6,y,y,—(未定义/依赖不满足),,"Enable the driver for Analog Devices LTC2990 Quad I2C Voltage, Current and Temperature Monitor.",DT_HAS_ADI_ADLTC2990_ENABLED
CONFIG_ADSP_CLOCK,soc/xtensa,bool,soc/xtensa/intel_adsp/Kconfig:66,n（隐式）,—,—(未定义/依赖不满足),,Driver for the CAVS clocks. Allow type of clock (and thus frequency) to be chosen.,
CONFIG_ADSP_DISABLE_L2CACHE_AT_BOOT,soc/xtensa,bool,soc/xtensa/intel_adsp/Kconfig:107,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADSP_IDLE_CLOCK_GATING,soc/xtensa,bool,soc/xtensa/intel_adsp/Kconfig:130,n（隐式）,—,—(未定义/依赖不满足),,"When true, FW will run with enabled clock gating. This options change HW configuration of a DSP. Evry time core goes to the WAITI state (wait for interrupt) during idle, the clock can be gated (however, this does not mean that this will happen).",
CONFIG_ADSP_IMR_CONTEXT_SAVE,soc/xtensa,bool,soc/xtensa/intel_adsp/Kconfig:110,n,n,—(未定义/依赖不满足),,"When true, FW will store its entire context into IMR before entering D3 state. Later this context can be used to FW restore when Host power up DSP again.",
CONFIG_ADSP_INIT_HPSRAM,soc/xtensa,bool,soc/xtensa/intel_adsp/Kconfig:94,y,y,—(未定义/依赖不满足),,Need to init HP SRAM.,
CONFIG_ADSP_NEED_POWER_ON_CACHE,soc/xtensa,bool,soc/xtensa/intel_adsp/Kconfig:89 | soc/xtensa/intel_adsp/cavs/Kconfig.defconfig.cavs_v25:60,n（隐式）,y,—(未定义/依赖不满足),,Need to power cache SRAM banks on.,
CONFIG_ADSP_POWER_DOWN_HPSRAM,soc/xtensa,bool,soc/xtensa/intel_adsp/Kconfig:100,n if ZTEST | y,n if ZTEST | y,—(未定义/依赖不满足),,Switch off HP SRAM during power down.,
CONFIG_ADSP_TRACE_SIMCALL,soc/xtensa,bool,soc/xtensa/intel_adsp/Kconfig:81,n（隐式）,—,—(未定义/依赖不满足),,"When true, the trace_out layer will also use a SIMCALL instruction to emit the passed data to the standard output of an enclosing simulator process.  All window contents will remain identical.",
CONFIG_ADT7310,drivers/sensor,bool,drivers/sensor/adt7310/Kconfig:6,y,y,—(未定义/依赖不满足),,Enable the driver for Analog Devices ADT7310 High-Accuracy 16-bit Digital SPI Temperature Sensors.,DT_HAS_ADI_ADT7310_ENABLED
CONFIG_ADT7310_THREAD_PRIORITY,drivers/sensor,int,drivers/sensor/adt7310/Kconfig:46,1,1,—(未定义/依赖不满足),,Thread priority of the interrupt handler. A higher number implies a higher priority. The thread is cooperative and will not be interrupted by another thread until execution is released.,
CONFIG_ADT7310_THREAD_STACK_SIZE,drivers/sensor,int,drivers/sensor/adt7310/Kconfig:54,1024,1024,—(未定义/依赖不满足),,Stack size of the interrupt handler thread.,
CONFIG_ADT7310_TRIGGER,drivers/sensor,bool,drivers/sensor/adt7310/Kconfig:17,n（隐式）,—,—(未定义/依赖不满足),,,GPIO
CONFIG_ADT7310_TRIGGER_GLOBAL_THREAD,drivers/sensor,bool,drivers/sensor/adt7310/Kconfig:30,n（隐式）,—,—(未定义/依赖不满足),,Use a global thread for the interrupt handler.,
CONFIG_ADT7310_TRIGGER_NONE,drivers/sensor,bool,drivers/sensor/adt7310/Kconfig:27,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADT7310_TRIGGER_OWN_THREAD,drivers/sensor,bool,drivers/sensor/adt7310/Kconfig:36,n（隐式）,—,—(未定义/依赖不满足),,Use a separate thread for the interrupt handler.,
CONFIG_ADT7420,drivers/sensor,bool,drivers/sensor/adt7420/Kconfig:6,y,y,—(未定义/依赖不满足),,Enable the driver for Analog Devices ADT7420 High-Accuracy 16-bit Digital I2C Temperature Sensors.,DT_HAS_ADI_ADT7420_ENABLED
CONFIG_ADT7420_TEMP_CRIT,drivers/sensor,int,drivers/sensor/adt7420/Kconfig:25,147,147,—(未定义/依赖不满足),,The critical overtemperature pin asserts when the temperature exceeds this value. The default value of 147 is the reset default of the ADT7420.,
CONFIG_ADT7420_TEMP_HYST,drivers/sensor,int,drivers/sensor/adt7420/Kconfig:17,5,5,—(未定义/依赖不满足),,"Specify the temperature hysteresis in °C for the THIGH, TLOW, and TCRIT temperature limits.",
CONFIG_ADT7420_THREAD_PRIORITY,drivers/sensor,int,drivers/sensor/adt7420/Kconfig:58,10,10,—(未定义/依赖不满足),,Priority of thread used by the driver to handle interrupts.,ADT7420_TRIGGER_OWN_THREAD && ADT7420_TRIGGER
CONFIG_ADT7420_THREAD_STACK_SIZE,drivers/sensor,int,drivers/sensor/adt7420/Kconfig:65,1024,1024,—(未定义/依赖不满足),,Stack size of thread used by the driver to handle interrupts.,ADT7420_TRIGGER_OWN_THREAD && ADT7420_TRIGGER
CONFIG_ADT7420_TRIGGER,drivers/sensor,bool,drivers/sensor/adt7420/Kconfig:55,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADT7420_TRIGGER_GLOBAL_THREAD,drivers/sensor,bool,drivers/sensor/adt7420/Kconfig:43,n（隐式）,—,—(未定义/依赖不满足),,,GPIO
CONFIG_ADT7420_TRIGGER_NONE,drivers/sensor,bool,drivers/sensor/adt7420/Kconfig:40,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADT7420_TRIGGER_OWN_THREAD,drivers/sensor,bool,drivers/sensor/adt7420/Kconfig:48,n（隐式）,—,—(未定义/依赖不满足),,,GPIO
CONFIG_ADXL345,drivers/sensor,bool,drivers/sensor/adxl345/Kconfig:6,y,y,—(未定义/依赖不满足),,Enable driver for ADXL345 Three-Axis Digital Accelerometer.,DT_HAS_ADI_ADXL345_ENABLED
CONFIG_ADXL362,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:6,y,y,—(未定义/依赖不满足),,Enable driver for ADXL362 Three-Axis Digital Accelerometers.,DT_HAS_ADI_ADXL362_ENABLED
CONFIG_ADXL362_ABS_REF_MODE,drivers/sensor,int,drivers/sensor/adxl362/Kconfig:137,0,0,—(未定义/依赖不满足),,Unsigned value that sets the ADXL362 interrupt mode in either absolute or referenced mode. 0 - Absolute mode 1 - Referenced mode,
CONFIG_ADXL362_ACCEL_ODR_100,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:50,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_ODR_12_5,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:41,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_ODR_200,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:53,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_ODR_25,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:44,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_ODR_400,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:56,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_ODR_50,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:47,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_ODR_RUNTIME,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:38,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_RANGE_2G,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:23,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_RANGE_4G,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:26,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_RANGE_8G,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:29,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACCEL_RANGE_RUNTIME,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:20,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_ACTIVITY_THRESHOLD,drivers/sensor,int,drivers/sensor/adxl362/Kconfig:99,1000,1000,—(未定义/依赖不满足),,Unsigned value that the adxl362 samples are compared to in activity trigger mode.,
CONFIG_ADXL362_ACTIVITY_TIME,drivers/sensor,int,drivers/sensor/adxl362/Kconfig:106,1,1,—(未定义/依赖不满足),,"8 bit value written to the activity timer register 0 to 254, seconds is this value div by ODR",
CONFIG_ADXL362_INACTIVITY_THRESHOLD,drivers/sensor,int,drivers/sensor/adxl362/Kconfig:113,100,100,—(未定义/依赖不满足),,Unsigned value that the adxl362 samples are compared to in inactivity trigger mode.,
CONFIG_ADXL362_INACTIVITY_TIME,drivers/sensor,int,drivers/sensor/adxl362/Kconfig:120,1,1,—(未定义/依赖不满足),,"16 bit value written to the activity timer register 0 to 65535, seconds is this value div by ODR",
CONFIG_ADXL362_INTERRUPT_MODE,drivers/sensor,int,drivers/sensor/adxl362/Kconfig:127,0,0,—(未定义/依赖不满足),,Unsigned value that sets the ADXL362 in different interrupt modes. 0 - Default mode 1 - Linked mode 3 - Loop mode,
CONFIG_ADXL362_THREAD_PRIORITY,drivers/sensor,int,drivers/sensor/adxl362/Kconfig:85,10,10,—(未定义/依赖不满足),,Priority of thread used by the driver to handle interrupts.,ADXL362_TRIGGER_OWN_THREAD && ADXL362_TRIGGER
CONFIG_ADXL362_THREAD_STACK_SIZE,drivers/sensor,int,drivers/sensor/adxl362/Kconfig:92,1024,1024,—(未定义/依赖不满足),,Stack size of thread used by the driver to handle interrupts.,ADXL362_TRIGGER_OWN_THREAD && ADXL362_TRIGGER
CONFIG_ADXL362_TRIGGER,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:82,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_TRIGGER_GLOBAL_THREAD,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:70,n（隐式）,—,—(未定义/依赖不满足),,,GPIO
CONFIG_ADXL362_TRIGGER_NONE,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:67,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL362_TRIGGER_OWN_THREAD,drivers/sensor,bool,drivers/sensor/adxl362/Kconfig:75,n（隐式）,—,—(未定义/依赖不满足),,,GPIO
CONFIG_ADXL367,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:6,y,y,—(未定义/依赖不满足),,Enable driver for ADXL367 Three-Axis Digital Accelerometers.,DT_HAS_ADI_ADXL367_ENABLED
CONFIG_ADXL367_ACTIVITY_DETECTION_MODE,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:64,y,y,—(未定义/依赖不满足),,Enable Activity detection.,
CONFIG_ADXL367_ACTIVITY_THRESHOLD,drivers/sensor,int,drivers/sensor/adxl367/Kconfig:29,100,100,—(未定义/依赖不满足),,Threshold for activity detection.,
CONFIG_ADXL367_ACTIVITY_TIME,drivers/sensor,int,drivers/sensor/adxl367/Kconfig:43,100,100,—(未定义/依赖不满足),,"The activity timer implements a robust activity detection that minimizes false positive motion triggers. When the timer is used, only sustained motion can trigger activity detection. Value is the number of samples. For example, at 100Hz ODR, 100 value translates to 1 second.",
CONFIG_ADXL367_INACTIVITY_DETECTION_MODE,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:70,y,y,—(未定义/依赖不满足),,Enable Inactivity detection.,
CONFIG_ADXL367_INACTIVITY_THRESHOLD,drivers/sensor,int,drivers/sensor/adxl367/Kconfig:36,100,100,—(未定义/依赖不满足),,Threshold for in-activity detection.,
CONFIG_ADXL367_INACTIVITY_TIME,drivers/sensor,int,drivers/sensor/adxl367/Kconfig:54,100,100,—(未定义/依赖不满足),,"The time that all enabled axes must be lower than the inactivity threshold for an inactivity event to be detected. Value is the number of samples. For example, at 100Hz ODR, 100 value translates to 1 second.",
CONFIG_ADXL367_MEASUREMENT_MODE,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:21,n（隐式）,—,—(未定义/依赖不满足),,"In this mode, acceleration data is provided continuously at the output data rate (ODR).",
CONFIG_ADXL367_REFERENCED_ACTIVITY_DETECTION_MODE,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:77,y,y,—(未定义/依赖不满足),,"Activity detection can be configured as referenced or absolute. When using absolute activity detection, acceleration samples are compared directly to a user set threshold to determine whether motion is present.",
CONFIG_ADXL367_REFERENCED_INACTIVITY_DETECTION_MODE,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:86,y,y,—(未定义/依赖不满足),,"Inactivity detection can be configured as referenced or absolute. When using absolute inactivity detection, acceleration samples are compared directly to a user set threshold to determine whether motion is present.",
CONFIG_ADXL367_THREAD_PRIORITY,drivers/sensor,int,drivers/sensor/adxl367/Kconfig:119,10,10,—(未定义/依赖不满足),,Priority of thread used by the driver to handle interrupts.,ADXL367_TRIGGER_OWN_THREAD && ADXL367_TRIGGER
CONFIG_ADXL367_THREAD_STACK_SIZE,drivers/sensor,int,drivers/sensor/adxl367/Kconfig:126,1024,1024,—(未定义/依赖不满足),,Stack size of thread used by the driver to handle interrupts.,ADXL367_TRIGGER_OWN_THREAD && ADXL367_TRIGGER
CONFIG_ADXL367_TRIGGER,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:116,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL367_TRIGGER_GLOBAL_THREAD,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:104,n（隐式）,—,—(未定义/依赖不满足),,,GPIO
CONFIG_ADXL367_TRIGGER_NONE,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:101,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADXL367_TRIGGER_OWN_THREAD,drivers/sensor,bool,drivers/sensor/adxl367/Kconfig:109,n（隐式）,—,—(未定义/依赖不满足),,,GPIO
CONFIG_ADXL372,drivers/sensor,bool,drivers/sensor/adxl372/Kconfig:6,y,y,—(未定义/依赖不满足),,Enable driver for ADXL372 Three-Axis Digital Accelerometers.,DT_HAS_ADI_ADXL372_ENABLED
CONFIG_ADXL372_ACTIVITY_THRESHOLD,drivers/sensor,int,drivers/sensor/adxl372/Kconfig:38,500,500,—(未定义/依赖不满足),,Threshold for activity detection.,
CONFIG_ADXL372_ACTIVITY_TIME,drivers/sensor,int,drivers/sensor/adxl372/Kconfig:52,1,1,—(未定义/依赖不满足),,"The activity timer implements a robust activity detection that minimizes false positive motion triggers. When the timer is used, only sustained motion can trigger activity detection. Number of multiples of 3.3 ms activity timer for which above threshold acceleration is required to detect activity. It is 3.3 ms per code for 6400 Hz ODR, and it is 6.6 ms per code for 3200 Hz ODR and below.",
CONFIG_ADXL372_INACTIVITY_THRESHOLD,drivers/sensor,int,drivers/sensor/adxl372/Kconfig:45,400,400,—(未定义/依赖不满足),,Threshold for in-activity detection.,
CONFIG_ADXL372_INACTIVITY_TIME,drivers/sensor,int,drivers/sensor/adxl372/Kconfig:64,2,2,—(未定义/依赖不满足),,"The time that all enabled axes must be lower than the inactivity threshold for an inactivity event to be detected. Number of multiples of 26 ms inactivity timer for which below threshold acceleration is required to detect inactivity. It is 26 ms per code for 3200 Hz ODR and below, and it is 13 ms per code for 6400 Hz ODR.",
CONFIG_ADXL372_MEASUREMENT_MODE,drivers/sensor,bool,drivers/sensor/adxl372/Kconfig:30,n（隐式）,—,—(未定义/依赖不满足),,"In this mode, acceleration data is provided continuously at the output data rate (ODR).",
CONFIG_ADXL372_PEAK_DETECT_MODE,drivers/sensor,bool,drivers/sensor/adxl372/Kconfig:21,n（隐式）,—,—(未定义/依赖不满足),,"In most high-g applications, a single (3-axis) acceleration sample at the peak of an impact event contains sufficient information about the event, and the full acceleration history is not required. In this mode the device returns only the over threshold Peak Acceleration between two consecutive sample fetches.",
CONFIG_ADXL372_REFERENCED_ACTIVITY_DETECTION_MODE,drivers/sensor,bool,drivers/sensor/adxl372/Kconfig:75,y,y,—(未定义/依赖不满足),,"Activity detection can be configured as referenced or absolute. When using absolute activity detection, acceleration samples are compared directly to a user set threshold to determine whether motion is present. In many applications, it is advantageous for activity detection to be based not on an absolute threshold, but on a deviation from a reference point or orientation.",
CONFIG_ADXL372_THREAD_PRIORITY,drivers/sensor,int,drivers/sensor/adxl372/Kconfig:110,10,10,—(未定义/依赖不满足),,Priority of thread used by the driver to handle interrupts.,ADXL372_TRIGGER_OWN_THREAD && ADXL372_TRIGGER
